date,EUR_USD,GBP_USD
2017-01-01,1.0567,1.2476
2017-01-08,1.0602,1.2458
2017-01-15,1.0525,1.2509
2017-01-22,1.0525,1.2552
2017-01-29,1.0556,1.2504
2017-02-05,1.052,1.2522
2017-02-12,1.0533,1.2494
2017-02-19,1.0538,1.2638
2017-02-26,1.0539,1.2594
2017-03-05,1.053,1.2575
2017-03-12,1.0552,1.2554
2017-03-19,1.0612,1.2527
2017-03-26,1.0563,1.2536
2017-04-02,1.0615,1.2552
2017-04-09,1.0626,1.2455
2017-04-16,1.0649,1.2421
2017-04-23,1.0592,1.2342
2017-04-30,1.0598,1.2416
2017-05-07,1.0673,1.2564
2017-05-14,1.0619,1.2647
2017-05-21,1.052,1.2667
2017-05-28,1.0433,1.2729
2017-06-04,1.0446,1.2739
2017-06-11,1.0565,1.2838
2017-06-18,1.0621,1.2878
2017-06-25,1.0705,1.2865
2017-07-02,1.071,1.2797
2017-07-09,1.078,1.2758
2017-07-16,1.0766,1.2777
2017-07-23,1.0797,1.2704
2017-07-30,1.0784,1.269
2017-08-06,1.0756,1.2771
2017-08-13,1.0763,1.2772
2017-08-20,1.0739,1.2892
2017-08-27,1.0804,1.2978
2017-09-03,1.0814,1.2961
2017-09-10,1.0834,1.288
2017-09-17,1.0817,1.2877
2017-09-24,1.088,1.2848
2017-10-01,1.0844,1.2871
2017-10-08,1.0877,1.2967
2017-10-15,1.0859,1.29
2017-10-22,1.0812,1.2877
2017-10-29,1.0788,1.2897
2017-11-05,1.0747,1.2965
2017-11-12,1.0737,1.2995
2017-11-19,1.072,1.302
2017-11-26,1.0735,1.3101
2017-12-03,1.0764,1.3131
2017-12-10,1.0756,1.3116
2017-12-17,1.0755,1.312
2017-12-24,1.0769,1.3077
2017-12-31,1.0742,1.311
2018-01-07,1.0778,1.3167
2018-01-14,1.082,1.2988
2018-01-21,1.083,1.3061
2018-01-28,1.095,1.3058
2018-02-04,1.0996,1.3085
2018-02-11,1.099,1.3125
2018-02-18,1.0972,1.2987
2018-02-25,1.096,1.2916
2018-03-04,1.0935,1.2896
2018-03-11,1.0992,1.2848
2018-03-18,1.0957,1.2864
2018-03-25,1.0953,1.2834
2018-04-01,1.0926,1.2731
2018-04-08,1.0979,1.2768
2018-04-15,1.0908,1.2834
2018-04-22,1.089,1.2868
2018-04-29,1.0883,1.2825
2018-05-06,1.0899,1.2809
2018-05-13,1.0922,1.2842
2018-05-20,1.0912,1.2878
2018-05-27,1.0961,1.2939
2018-06-03,1.0977,1.2921
2018-06-10,1.11,1.2836
2018-06-17,1.1025,1.2795
2018-06-24,1.1056,1.2827
2018-07-01,1.1004,1.2872
2018-07-08,1.0964,1.3005
2018-07-15,1.1063,1.3012
2018-07-22,1.115,1.3027
2018-07-29,1.1057,1.3016
2018-08-05,1.1046,1.2992
2018-08-12,1.1043,1.3039
2018-08-19,1.0936,1.306
2018-08-26,1.0934,1.3048
2018-09-02,1.0954,1.2983
2018-09-09,1.0964,1.2975
2018-09-16,1.0865,1.2952
2018-09-23,1.092,1.3027
2018-09-30,1.0932,1.3084
2018-10-07,1.0929,1.3023
2018-10-14,1.0892,1.3093
2018-10-21,1.0927,1.3058
2018-10-28,1.0973,1.3066
2018-11-04,1.0949,1.3139
2018-11-11,1.0953,1.3077
2018-11-18,1.0995,1.3087
2018-11-25,1.0897,1.3019
2018-12-02,1.0903,1.2902
2018-12-09,1.0808,1.2962
2018-12-16,1.0761,1.2963
2018-12-23,1.0785,1.2914
2018-12-30,1.0778,1.2819
