date,temperature,wind_speed
2017-01-01,15.99,6.8
2017-01-02,14.9,7.11
2017-01-03,16.64,7.0
2017-01-04,18.56,7.04
2017-01-05,15.22,6.59
2017-01-06,15.39,6.98
2017-01-07,19.19,7.21
2017-01-08,17.74,7.67
2017-01-09,15.44,7.4
2017-01-10,17.63,7.98
2017-01-11,15.79,6.5
2017-01-12,15.96,7.29
2017-01-13,17.54,6.92
2017-01-14,13.4,7.9
2017-01-15,13.94,6.37
2017-01-16,16.44,6.32
2017-01-17,15.7,6.4
2017-01-18,18.52,5.6
2017-01-19,16.24,6.36
2017-01-20,15.4,6.21
2017-01-21,21.32,6.62
2017-01-22,18.09,6.67
2017-01-23,18.84,7.39
2017-01-24,16.02,6.88
2017-01-25,17.94,6.06
2017-01-26,19.4,5.85
2017-01-27,17.04,6.49
2017-01-28,20.25,5.53
2017-01-29,18.45,7.05
2017-01-30,19.22,6.67
2017-01-31,18.75,5.79
2017-02-01,23.8,5.1
2017-02-02,20.22,6.58
2017-02-03,18.28,5.78
2017-02-04,22.18,6.39
2017-02-05,18.24,4.91
2017-02-06,21.24,5.34
2017-02-07,17.04,5.58
2017-02-08,18.44,5.54
2017-02-09,21.63,5.22
2017-02-10,22.85,5.69
2017-02-11,21.84,4.78
2017-02-12,21.4,5.17
2017-02-13,21.16,5.23
2017-02-14,18.93,5.36
2017-02-15,20.57,5.39
2017-02-16,21.21,4.4
2017-02-17,24.37,4.13
2017-02-18,23.06,5.47
2017-02-19,18.96,4.93
2017-02-20,23.25,4.32
2017-02-21,21.94,5.4
2017-02-22,21.46,4.61
2017-02-23,24.15,5.08
2017-02-24,25.09,4.46
2017-02-25,24.99,5.39
2017-02-26,21.55,5.17
2017-02-27,22.71,4.1
2017-02-28,24.08,4.65
2017-03-01,25.46,4.42
2017-03-02,22.64,4.72
2017-03-03,23.32,3.5
2017-03-04,21.56,4.26
2017-03-05,21.46,4.39
2017-03-06,25.56,2.93
2017-03-07,26.72,3.16
2017-03-08,23.94,2.68
2017-03-09,26.16,3.51
2017-03-10,24.95,3.96
2017-03-11,23.0,4.3
2017-03-12,25.07,3.54
2017-03-13,27.49,4.27
2017-03-14,24.4,2.72
2017-03-15,27.65,2.52
2017-03-16,19.33,3.31
2017-03-17,26.26,3.49
2017-03-18,24.84,3.25
2017-03-19,24.11,2.2
2017-03-20,24.93,3.15
2017-03-21,20.81,2.52
2017-03-22,24.38,3.48
2017-03-23,25.57,3.3
2017-03-24,27.84,2.63
2017-03-25,23.87,2.82
2017-03-26,23.31,2.53
2017-03-27,23.94,3.01
2017-03-28,26.79,3.51
2017-03-29,25.63,2.53
2017-03-30,23.93,3.26
2017-03-31,26.02,2.74
2017-04-01,25.19,2.6
2017-04-02,26.94,2.95
2017-04-03,23.59,2.48
2017-04-04,24.34,2.73
2017-04-05,24.2,2.41
2017-04-06,22.05,4.0
2017-04-07,25.56,3.05
2017-04-08,25.47,2.69
2017-04-09,24.94,3.17
2017-04-10,24.44,3.02
2017-04-11,22.05,2.99
2017-04-12,24.01,3.43
2017-04-13,24.13,3.52
2017-04-14,23.18,2.9
2017-04-15,24.43,2.91
2017-04-16,25.52,3.09
2017-04-17,28.44,2.11
2017-04-18,24.97,2.54
2017-04-19,25.09,4.02
2017-04-20,24.37,4.2
2017-04-21,20.63,3.29
2017-04-22,24.36,3.75
2017-04-23,24.47,3.66
2017-04-24,29.21,5.09
2017-04-25,23.84,4.16
2017-04-26,24.76,3.58
2017-04-27,24.01,3.22
2017-04-28,21.67,2.95
2017-04-29,26.22,3.91
2017-04-30,25.36,3.49
2017-05-01,25.36,3.21
2017-05-02,21.87,3.66
2017-05-03,26.41,3.5
2017-05-04,20.71,4.94
2017-05-05,24.59,4.6
2017-05-06,27.71,4.22
2017-05-07,21.25,5.03
2017-05-08,22.0,4.39
